MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Balaji Devidasrao Kalyankar,1900-02-14,Nanded North,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Balaji Devidasrao Kalyankar.jpg
Balaji Pralhad Kinikar,1900-02-21,Ambernath,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Balaji Pralhad Kinikar.jpg
Banti Bhangdiya,1900-02-11,Chimur,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Banti Bhangdiya.jpg
Bapusaheb Tukaram Pathare,1900-03-05,Vadgaon Sheri,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bapusaheb Tukaram Pathare.jpg
Bharat Maruti Gogawale,1900-03-01,Mahad,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Gogawale Bharat Maruti.jpg
Bhaskar Bhaurao Jadhav,1900-03-07,Guhagar,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Jadhav Bhaskar Bhaurao.jpg
Bhimrao Dhondiba Tapkir,1900-03-04,Khadakwasala,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bhimrao Dhondiba Tapkir.jpg
Bhimrao Ramji Keram,1900-02-25,Kinwat,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Bhimrao Ramji Keram.jpg
Chainsukh Madanlal Sancheti,1900-03-11,Malkapur,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chainsukh Madanlal Sancheti.jpg
Chandradeep Shashikant Narake,1900-02-26,Karvir,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandradeep Shashikant Narake.jpg
